queue_type,text,source_label,source_label_id,beto_label,beto_label_id,beto_confidence,signal_category,audit_label,audit_decision,audit_reason,reviewer
error,El acceso del administrador del banco dará la opción de validarse con verificación en dos pasos por SMS.,RF,0,RNF,1,0.631946,security,,,,
error,El acceso del administrador del sistema habilitará para validarse utilizando código de acceso temporal.,RF,0,RNF,1,0.892817,security,,,,
error,El acceso del cliente frecuente dará la opción de validarse con verificación por mensaje de texto.,RF,0,RNF,1,0.7003,security,,,,
error,El acceso del cliente podrá validarse mediante clave dinámica y huella dactilar.,RF,0,RNF,1,0.824673,security,,,,
error,El acceso del cliente posibilitará validarse mediante clave dinámica y huella dactilar.,RF,0,RNF,1,0.830614,security,,,,
error,El acceso del comprador dará la opción de validarse mediante correo electrónico y contraseña.,RF,0,RNF,1,0.615528,security,,,,
error,El acceso del coordinador académico habilitará para validarse con verificación de correo institucional.,RF,0,RNF,1,0.69319,security,,,,
error,El acceso del coordinador académico habilitará para validarse mediante usuario institucional y contraseña.,RF,0,RNF,1,0.801921,security,,,,
error,El acceso del farmacéutico habilitará para validarse utilizando huella dactilar registrada.,RF,0,RNF,1,0.880533,mixed:security+functional_action,,,,
error,El acceso del farmacéutico podrá validarse con tarjeta profesional y PIN.,RF,0,RNF,1,0.704414,security,,,,
error,El acceso del médico tratante habilitará para validarse con tarjeta profesional y PIN.,RF,0,RNF,1,0.697958,security,,,,
error,El acceso del médico tratante habilitará para validarse utilizando huella dactilar registrada.,RF,0,RNF,1,0.826782,mixed:security+functional_action,,,,
error,El acceso del médico tratante permitirá validarse utilizando huella dactilar registrada.,RF,0,RNF,1,0.735015,mixed:security+functional_action,,,,
error,El acceso del proveedor dará la opción de validarse con verificación por mensaje de texto.,RF,0,RNF,1,0.606603,security,,,,
error,El acceso del proveedor posibilitará validarse con verificación por mensaje de texto.,RF,0,RNF,1,0.849085,security,,,,
error,El acceso del proveedor posibilitará validarse utilizando inicio de sesión con cuenta de terceros.,RF,0,RNF,1,0.847023,security,,,,
error,El acceso del representante legal dará la opción de validarse mediante usuario institucional y contraseña.,RF,0,RNF,1,0.646194,security,,,,
error,El acceso del representante legal permitirá validarse mediante usuario institucional y contraseña.,RF,0,RNF,1,0.893581,mixed:security+functional_action,,,,
error,El acceso del titular de la cuenta habilitará para validarse con verificación en dos pasos por SMS.,RF,0,RNF,1,0.849644,security,,,,
error,El acceso del vendedor posibilitará validarse con verificación por mensaje de texto.,RF,0,RNF,1,0.787776,security,,,,
error,El administrador del banco tendrá acceso a un certificado de saldo desde el módulo de reportes.,RF,0,RNF,1,0.503545,other,,,,
error,El administrador del hospital podrá dar de baja un usuario dado de baja del sistema cuando su registro ya no sea necesario.,RF,0,RNF,1,0.63668,functional_action,,,,
"error,""El especialista tendrá la opción de crear un plan de tratamiento desde su panel principal, cuando el usuario cuente con los permisos necesarios."",RF,0,RNF,1,0.742984,functional_action,,,,"
"error,""El médico tratante podrá crear una historia clínica digital desde su panel principal, siempre que los datos ingresados sean válidos."",RF,0,RNF,1,0.522301,functional_action,,,,"
error,El paciente tendrá acceso a una alerta de interacción entre medicamentos desde el módulo de reportes.,RF,0,RNF,1,0.796316,other,,,,
error,El repartidor tendrá acceso a una guía de envío desde el módulo de reportes.,RF,0,RNF,1,0.527991,other,,,,
error,El sistema debe autenticar al administrador del hospital con tarjeta profesional y PIN antes de otorgar acceso.,RF,0,RNF,1,0.936328,mixed:security+functional_action,,,,
error,El sistema debe autenticar al farmacéutico con tarjeta profesional y PIN antes de otorgar acceso.,RF,0,RNF,1,0.841642,mixed:security+functional_action,,,,
error,El sistema debe eliminar de forma permanente una alerta configurada tras confirmación del cliente.,RF,0,RNF,1,0.903581,functional_action,,,,
error,El sistema debe eliminar de forma permanente una solicitud de crédito rechazada tras confirmación del usuario.,RF,0,RNF,1,0.789974,functional_action,,,,
error,El sistema debe gestionar correctamente la información relevante del cliente.,RF,0,RNF,1,0.821776,other,,,,
error,El sistema debe procesar la solicitud en un tiempo razonable.,RF,0,RNF,1,0.97883,mixed:performance+usability_quality,,,,
error,El sistema deberá autenticar a la enfermera de turno utilizando huella dactilar registrada antes de otorgar acceso.,RF,0,RNF,1,0.86394,mixed:security+functional_action,,,,
error,El sistema deberá autenticar al administrador de la tienda mediante correo electrónico y contraseña antes de otorgar acceso.,RF,0,RNF,1,0.859781,mixed:security+functional_action,,,,
error,El sistema deberá autenticar al estudiante mediante usuario institucional y contraseña antes de otorgar acceso.,RF,0,RNF,1,0.807626,mixed:security+functional_action,,,,
error,El sistema deberá autenticar al representante legal utilizando código de acceso temporal antes de otorgar acceso.,RF,0,RNF,1,0.666967,mixed:security+functional_action,,,,
error,El sistema deberá facilitar la operación al usuario de forma general.,RF,0,RNF,1,0.889845,other,,,,
error,El sistema deberá ofrecer una experiencia satisfactoria durante todo el proceso.,RF,0,RNF,1,0.971775,usability_quality,,,,
"error,""El sistema deberá permitir la creación de una alerta de saldo mínimo por parte del usuario, siempre que los datos ingresados sean válidos."",RF,0,RNF,1,0.772465,functional_action,,,,"
