text,label
"""El sistema actualizará la pantalla cada 60 segundos"".",1
'La solicitud deberá coincidir con el color del esquema establecido por el Departamento de Seguridad Nacional',1
"'Si se proyectan, los datos deben ser legibles. En una pantalla de proyección de 10x10, el 90% de los espectadores deben poder leer los datos del evento/actividad desde una distancia de visualización de 30'.",1
"«El producto estará disponible durante el horario comercial habitual. Siempre que el usuario tenga acceso al PC cliente, el sistema estará disponible el 99% del tiempo durante los primeros seis meses de funcionamiento.'",1
"'Si se proyectan, los datos deben ser comprensibles. En una pantalla de proyección de 10x10, el 90% de los espectadores deben poder determinar que eventos o actividades están ocurriendo en el momento actual desde una distancia de visualización de 100'.",1
«El producto deberá garantizar que sólo puedan acceder a él usuarios autorizados. El producto podrá distinguir entre usuarios autorizados y no autorizados en todos los intentos de acceso.,1
«El producto será intuitivo y se explicará por sí mismo. : El 90% de los nuevos usuarios podrán iniciar la visualización de Eventos o Actividades dentro de los 90 minutos posteriores al uso del producto.,1
"""El producto deberá responder rápidamente para mantener los datos actualizados en la pantalla"".",1
'El sistema dispondrá de un formulario MDI que permita la visualización del gráfico y de la tabla de datos.',0
'El sistema mostrará los Eventos en una tabla vertical por tiempo.',0
'El sistema mostrará los Eventos en un gráfico por tiempo.',0
'El sistema mostrará Eventos o Actividades.',0
'La pantalla tendrá dos regiones: los 2/3 de la izquierda de la pantalla son gráficos y el 1/3 de la derecha de la pantalla es una tabla de datos',1
'Los datos que se muestran tanto en los nodos del gráfico como en las filas de la tabla son datos de resumen de MSEL',0
"""El lado de la tabla de la pantalla se dividirá en dos regiones: secuencial y temporal"".",1
'El 1/4 superior de la tabla contendrá eventos que ocurrirán secuencialmente.',1
'Los 3/4 inferiores de la tabla contendrán los eventos que ocurren de acuerdo con su relevancia en el momento actual.',1
"""El sistema codificará con colores los eventos según su variación con respecto a la hora actual"".",1
'El sistema mostrará datos de las aplicaciones Sync Matrix 1.0 y Ejercicio Management Tool 1.0',1
'El sistema vinculará los eventos a las aplicaciones Sync Matrix 1.0 o Ejercicio Managment Tool 1.0 para realizar modificaciones.',1
«El sistema permitirá modificar la visualización.»,0
'El sistema ofrecerá una visualización de todos los Eventos del ejercicio.',0
'El sistema filtrará los datos por: Lugares y Eventos Clave.',0
'El sistema permitirá al usuario definir los segmentos de tiempo',0
'El sistema mostrará la hora local y de ejercicio en relojes separados',0
"""El sistema ofrecerá la posibilidad de pausar y reanudar la actualización de datos"".",0
'El sistema proporcionará gráficos para la Actividad o Evento real frente al tiempo supuesto.',0
'El sistema proporcionará un informe histórico de los cambios realizados en los datos de Actividad o Evento',0
"""La apariencia del sistema deberá ajustarse a los estándares de interfaz de usuario del dispositivo inteligente"".",1
'La interfaz de usuario tendrá botones de menú estándar para la navegación',1
'El sistema deberá tener una apariencia profesional',1
"""El producto deberá tener una combinación de colores y fuentes consistentes"".",1
"""El sistema será utilizado por agentes inmobiliarios sin formación.""",1
"""El sistema será intuitivo y se explicará por sí mismo"".",1
"""El producto será fácil de aprender para un agente inmobiliario"".",1
"""El producto utilizará símbolos y palabras que sean naturalmente comprensibles para la comunidad de agentes inmobiliarios"".",1
'El producto deberá producir resultados de búsqueda en un tiempo aceptable',1
'Los resultados de la búsqueda se devolverán a más tardar 30 segundos después de que el usuario haya introducido los criterios de búsqueda',1
"""El producto generará un informe CMA en un tiempo aceptable"".",1
"""El informe CMA se devolverá a más tardar 60 segundos después de que el usuario haya introducido los criterios del informe CMA"".",1
"""El producto sincronizará contactos y citas en un tiempo aceptable"".",1
"""El producto se sincronizará con el sistema de la oficina cada hora"".",1
"'El producto estará disponible para su uso las 24 horas del día, los 365 días del año'",1
"'De cada 1.000 accesos al sistema, el sistema está disponible 999 veces.'",1
"""El producto funcionará en modo fuera de línea siempre que la conexión a Internet no esté disponible"".",1
"""El producto permitirá al usuario ver los resultados de búsqueda descargados previamente, los informes y las citas de la CMA"".",0
"""El producto conservará las preferencias del usuario en caso de fallo"".",0
"""El 100% de las preferencias de usuario guardadas se restaurarán cuando el sistema vuelva a estar en línea"".",1
'El producto deberá poder admitir múltiples usuarios remotos',0
"""El producto podrá admitir 1.000 usuarios simultáneos"".",1
«El producto deberá ser capaz de gestionar los 1.000 usuarios actuales. Se espera que este número se multiplique por cinco durante el próximo año.,1
"""El producto debe ser instalado por un agente inmobiliario no capacitado sin recurrir a instrucciones impresas por separado.""",1
'El 90% de los agentes inmobiliarios no capacitados podrán instalar el producto en su dispositivo sin instrucciones impresas',1
"""Se espera que el producto funcione en los sistemas operativos Windows CE y Palm"".",1
"""Sólo los agentes inmobiliarios registrados podrán acceder al sistema"".",1
'Todos los usuarios del sistema deberán ser autenticados y autorizados.',1
«El producto evitará que se introduzcan datos incorrectos en sus datos.»,1
'El sistema permitirá a un agente inmobiliario consultar información del MLS',0
'El usuario podrá obtener indicaciones para llegar a una propiedad seleccionada',0
'El usuario podrá descargar citas e información de contacto de los clientes',0
'El sistema mostrará imágenes claras de las propiedades en los resultados de la búsqueda',0
'El sistema actualizará o creará nuevos listados de propiedades en el MLS',0
'El agente inmobiliario podrá generar un informe CMA basado en criterios de propiedad',0
'El sistema podrá llamar al vendedor o comprador para programar una cita',0
'El agente inmobiliario será notificado de las citas de nuevos clientes después de la sincronización automática con el sistema de la oficina',0
'El agente inmobiliario podrá recuperar un mapa que muestre la ubicación de las propiedades en un área específica',0
'El sistema notificará al agente inmobiliario cuando un vendedor o comprador responda a una solicitud de cita',0
"""El producto permitirá al usuario guardar los resultados de la búsqueda de propiedades"".",0
'El sistema será fácil de utilizar por los administradores del programa/miembros del personal de enfermería.',1
"""Todos los usuarios podrán utilizar el sistema después de un día de formación"".",1
"""El sistema ayudará al usuario a evitar cometer errores al programar clases y clínicas para los estudiantes de enfermería"".",1
'El número de errores observados por los estudiantes se reducirá en un 50% durante el primer año.',1
'El sistema será intuitivo para los administradores del programa/miembros del personal de enfermería.',1
'2 de cada 3 administradores de programas/miembros del personal de enfermería podrán utilizar con éxito el sistema para gestionar la programación de clases y clínicas.',1
"""El sistema utilizará símbolos y palabras que sean naturalmente comprensibles para la comunidad de usuarios"".",1
"""La palabrería utilizada dentro del sistema será coherente con el inglés estándar y la terminología de la comunidad nacional de enfermería"".",1
"""Los miembros del personal deberán poder completar una serie de tareas de manera oportuna"".",1
'El tiempo de respuesta de las tareas generales de gestión de estudiantes no excederá los 5 segundos y el tiempo de respuesta de la generación del horario no excederá los 30 segundos.',1
"""El sistema estará disponible para su uso entre las 8:00 y las 18:00 horas"".",1
"""El sistema alcanzará un 95% de tiempo de funcionamiento"".",1
'El sistema deberá poder manejar todas las solicitudes/uso de los usuarios durante el horario comercial.',1
"""El sistema atenderá a 10 usuarios simultáneos de 9 a 17 horas"".",1
"""El sistema será capaz de procesar el 100% de los estudiantes de enfermería y sus clases durante los próximos 10 años"".",1
'Se espera que el sistema administre el plan de estudios del programa de enfermería y la programación de clases/clínica durante un mínimo de cinco años.',1
"""El sistema podrá funcionar en un entorno de oficina comercial típico del Departamento de Enfermería de la Universidad DePaul"".",1
'El sistema se utilizará dentro de las especificaciones definidas por los ordenadores utilizados por los administradores del programa/miembros del personal de enfermería.',1
'El sistema funcionará dentro del sistema operativo Windows XP Professional.',1
El sistema interactuará con el servidor central de CampusConnect.,1
"""El sistema interactuará con el servidor central de la facultad"".",1
'El sistema interactuará con el servidor maestro de estudiantes.',1
"""Debemos poder interactuar con cualquier navegador HTML"".",1
"""Sólo los usuarios autorizados tendrán acceso a la información del centro clínico"".",1
'Los administradores del programa/miembros del personal de enfermería son las únicas personas que tendrán acceso a los detalles del sitio clínico.',1
Sólo los usuarios autorizados tendrán acceso a la información personal de los estudiantes.',1
La Dra. Susan Poslusny y la Dra. Julie Donalek son las únicas personas que tendrán acceso a la información personal de los estudiantes.',1
"""Sólo los usuarios autorizados tendrán acceso a la parte del sistema que interactúa con CampusConnect"".",1
